empId,staffName,age,gender,address,phone,role
AS1,Greer Breton,42,Female,538 Clyde Gallagher Alley,541-779-0838,Receptionist
AS2,Gae Iglesia,33,Male,84628 Hanover Avenue,686-237-6324,Boarding Incharge
AS3,Danni Alcott,22,Male,7 Acker Alley,174-495-6057,Boarding Incharge
AS4,Kaitlin Matzaitis,45,Male,7819 Montana Crossing,193-344-1310,Support staff
AS5,Base Balassa,47,Male,5207 Riverside Street,662-669-9376,Boarding Incharge
AS6,Robinett Warmisham,26,Male,5 Larry Parkway,648-551-7113,General Manager
AS7,Berne Brislane,41,Male,3 Emmet Plaza,658-745-0006,Boarding Incharge
AS8,Cathryn Telega,33,Male,8 Shopko Circle,162-851-5498,Boarding Incharge
AS9,Jim Taplow,41,Male,5 Briar Crest Court,223-842-1130,Support staff
AS10,Dolph Duffell,36,Male,8488 Beilfuss Court,475-907-8822,Boarding Incharge
AS11,Logan Bottleson,47,Female,0 Mesta Terrace,763-719-2697,check-in Baggage
AS12,Averill Stivens,49,Male,1 Coolidge Center,682-175-7429,Boarding Incharge
AS13,Verge Auger,50,Male,3893 Evergreen Way,137-797-7930,Receptionist
AS14,Torey Bang,34,Female,75071 Packers Way,456-460-2343,Support staff
AS15,Jeniece MacCook,44,Female,042 Chive Lane,479-127-8278,Receptionist
AS16,Hunter Shone,38,Male,386 Union Way,311-414-6774,Support staff
AS17,Waly Sleightholm,23,Female,424 Grayhawk Road,229-311-5819,Support staff
AS18,Duff Davis,36,Female,55 Shopko Parkway,103-207-8972,Boarding Incharge
AS19,Cody Anstis,41,Female,31897 Anhalt Court,515-809-7116,Boarding Incharge
AS20,Lizzy Voas,44,Male,8446 Redwing Street,340-219-8912,Boarding Incharge
AS21,Lou Arnull,45,Male,724 Judy Terrace,240-765-0710,Support staff
AS22,Randie Fradson,49,Female,3868 Burrows Way,245-535-2006,Receptionist
AS23,Hamish Digby,35,Female,65041 Iowa Trail,999-280-5670,Boarding Incharge
AS24,Dennet Hove,36,Male,83 American Junction,358-666-9974,General Manager
AS25,Rouvin Haukey,36,Female,47926 Banding Lane,973-676-1594,Boarding Incharge
AS26,Raychel McIlvoray,49,Female,1255 Hayes Lane,130-233-7169,General Manager
AS27,Birgit Petras,31,Female,5 Blackbird Pass,803-597-7876,Receptionist
AS28,Ernesto Lukash,40,Male,142 Vahlen Point,690-947-1609,check-in Baggage
AS29,Claudetta Bushe,33,Female,9669 Fair Oaks Avenue,945-327-3369,Boarding Incharge
AS30,Ettie Carnier,50,Male,1953 Pearson Pass,476-691-0169,check-in Baggage
AS31,Noam Hovenden,47,Female,988 Huxley Parkway,405-140-2208,Support staff
AS32,Caren MacLleese,49,Male,51125 Pankratz Drive,966-201-0734,General Manager
AS33,Feodora Tenney,42,Male,43390 Morningstar Crossing,927-455-8980,Support staff
AS34,Hanny Wincom,24,Male,12502 Emmet Terrace,343-857-3705,Boarding Incharge
AS35,Katherine Donati,26,Female,87268 Melvin Trail,411-772-5764,check-in Baggage
AS36,Mariann Giacobo,30,Female,9751 Charing Cross Court,195-118-2890,check-in Baggage
AS37,Barnabe Selwyn,24,Male,24474 Ohio Pass,248-239-2445,Boarding Incharge
AS38,Chrissy Coggell,24,Male,51 Hauk Point,692-856-3973,Boarding Incharge
