empId,empName,shiftTiming,assignedLocation,empPassword
GE1,Mandy Cheese,0:29,Security Clearance,1234
GE2,Michele Casse,14:16,east Block,1234
GE3,Woodrow Gurnett,15:09,Security Clearance,1234
GE4,Bridie Beades,17:43,west Block,1234
GE5,Emmanuel Kaes,15:39,east Block,1234
GE6,Leanor Behrendsen,2:03,west Block,1234
GE7,Glenda MacLaughlin,2:11,east Block,1234
GE8,Loria Strangeways,9:10,South Block,1234
GE9,Keir Dillicate,16:05,Security Clearance,1234
GE10,Christabel Bull,8:28,Security Clearance,1234
GE11,Martita Alenov,7:04,South Block,1234
GE12,Deina Borrow,9:49,South Block,1234
GE13,Mareah Banthorpe,19:46,east Block,1234
GE14,Benny Kareman,6:21,east Block,1234
GE15,Hurleigh Colbertson,12:43,east Block,1234
GE16,Waverly Riddett,19:07,Immigration,1234
GE17,Bil Behling,9:40,North Block,1234
GE18,Germaine Sussems,14:53,North Block,1234
GE19,Fonz Hartil,16:42,Immigration,1234
GE20,Donny Vigurs,11:12,west Block,1234
GE21,Lebbie O' Dornan,19:55,South Block,1234
GE22,Zora Santore,21:04,Security Clearance,1234
GE23,Lind Sodo,2:19,east Block,1234
GE24,Luke Cranmere,4:26,east Block,1234
GE25,Verene Hirschmann,8:41,Immigration,1234
GE26,Valentin Iddons,4:39,Security Clearance,1234
GE27,Marigold Scutts,6:41,east Block,1234
GE28,Saloma Tebald,4:30,Security Clearance,1234
GE29,Sayre Geary,14:13,Security Clearance,1234
GE30,Elle Littleover,14:45,North Block,1234
GE31,Jeramey Braams,21:25,Immigration,1234
GE32,Cornelia McFarlane,20:07,Immigration,1234
GE33,Evelyn Coutts,18:33,west Block,1234
GE34,Upton Ailward,0:55,east Block,1234
GE35,Dreddy Soal,21:50,Security Clearance,1234
GE36,Lucinda Tondeur,13:54,west Block,1234
GE37,Alisha MacSporran,21:38,South Block,1234
GE38,Nolie Marris,4:59,North Block,1234
GE39,Tori Thurstance,0:46,west Block,1234
GE40,Sabrina Bacchus,7:23,west Block,1234
GE41,Bax Marians,2:05,Security Clearance,1234
GE42,Gerrie Haslegrave,21:09,North Block,1234
GE43,Lottie Fendt,13:06,South Block,1234
GE44,Lothario Corfield,2:10,east Block,1234
GE45,Jeannette Mirams,18:19,Security Clearance,1234
GE46,Helli Muckleston,17:37,east Block,1234
GE47,Allina Le Marchant,5:22,west Block,1234
GE48,Jodi Leser,3:11,North Block,1234
GE49,Michale Canada,11:58,Immigration,1234
GE50,Sybila Clift,21:24,Immigration,1234
GE51,Analise Ovill,18:21,North Block,1234
GE52,Agneta MacCall,5:06,North Block,1234
GE53,Yancey Caldecutt,13:41,South Block,1234
GE54,Mendie Willeman,22:21,Security Clearance,1234
GE55,Morse Bell,17:13,east Block,1234
GE56,Derril Korneluk,13:38,North Block,1234
GE57,Nicola Arnow,20:17,Immigration,1234
GE58,Xylina Liccardi,8:50,South Block,1234
GE59,Padraic Fillis,10:51,west Block,1234
GE60,Ewart Conybear,13:20,South Block,1234
GE61,Paolina Jojic,19:13,Immigration,1234
GE62,Dael Cuttings,16:25,Security Clearance,1234
GE63,Clerkclaude Binton,7:24,west Block,1234
GE64,Leonardo Gawthrope,8:47,South Block,1234
GE65,Matteo St. Queintain,14:58,Security Clearance,1234
GE66,Curry Grass,11:18,west Block,1234
GE67,Anallese Spurryer,3:31,east Block,1234
GE68,Angelico Gonnel,22:58,Immigration,1234
GE69,Sherrie Ostrich,4:20,South Block,1234
GE70,Ferne Romi,22:49,Immigration,1234
GE71,Sky Siflet,20:37,North Block,1234
GE72,Cara Forstall,19:49,North Block,1234
GE73,Forest Arboine,5:27,Security Clearance,1234
GE74,Serge Klimushev,22:12,North Block,1234
GE75,Kimmi Eustis,20:17,South Block,1234
GE76,Robbyn MacKaig,2:16,Immigration,1234
GE77,Dirk Rockcliff,5:30,Immigration,1234
GE78,Elissa Waterfall,19:34,South Block,1234
GE79,Emera Georgeou,14:49,Security Clearance,1234
GE80,Man Cash,6:22,Security Clearance,1234
GE81,Jasmina Philpault,11:52,east Block,1234
GE82,Marybelle Banck,20:28,Immigration,1234
GE83,Ruthanne Garrett,4:57,Security Clearance,1234
GE84,Ibbie Fuzzey,4:12,west Block,1234
GE85,Dorelia Golagley,11:20,Security Clearance,1234
GE86,Godart Messenbird,23:51,North Block,1234
GE87,Brady Stout,17:52,Immigration,1234
GE88,Joshuah Broader,11:44,east Block,1234
GE89,Waldemar Humburton,4:51,west Block,1234
GE90,Kristian Butter,5:19,Immigration,1234
GE91,Ambrosi Hitscher,11:42,Security Clearance,1234
GE92,Goldie Yakuntsov,20:02,Security Clearance,1234
GE93,Nestor Klampk,3:55,South Block,1234
GE94,Fabian Doyland,12:57,west Block,1234
GE95,Codie Brimm,22:02,Security Clearance,1234
GE96,Lucho Spenclay,16:45,east Block,1234
GE97,Agnese Curd,15:56,Immigration,1234
GE98,Mable McIlwrath,17:14,South Block,1234
GE99,Ebba Burtenshaw,18:16,Security Clearance,1234
GE100,Mathilde Lacky,14:39,South Block,1234
