empId,passengerId,testDate,testTime,testResult
M1,108-80-6653,2020-03-17,11:14:14,negative
M2,103-68-7587,2020-03-17,7:01:01,negative
M3,714-32-4803,2020-03-17,8:30:33,negative
M4,301-66-9038,2020-03-17,7:38:52,negative
M5,494-02-0084,2020-03-17,5:12:02,positive
M6,587-86-4143,2020-03-17,5:03:13,positive
M7,872-76-1880,2020-03-17,17:05:41,negative
M8,505-88-4215,2020-03-17,5:22:28,negative
M9,157-30-7732,2020-03-17,13:31:34,positive
M10,635-75-0697,2020-03-17,22:22:11,negative
M1,834-96-3329,2020-03-17,8:52:42,negative
M2,784-51-5100,2020-03-17,16:22:22,positive
M3,805-81-3309,2020-03-17,8:22:29,negative
M4,400-42-9057,2020-03-17,23:43:03,negative
M5,557-18-3122,2020-03-17,17:31:23,positive
M6,829-53-8467,2020-03-17,13:27:53,positive
M7,512-08-2987,2020-03-17,11:59:04,negative
M8,507-23-6788,2020-03-17,13:37:45,negative
M9,801-44-4982,2020-03-17,10:25:46,positive
M10,185-75-0740,2020-03-17,22:36:14,positive
M1,706-90-7602,2020-03-17,6:40:39,negative
M2,357-93-4550,2020-03-17,2:17:59,negative
M3,716-01-5148,2020-03-17,13:29:03,negative
M4,322-45-3204,2020-03-17,22:28:20,positive
M5,175-06-6230,2020-03-17,4:37:44,positive
M6,538-05-6625,2020-03-17,7:03:38,negative
M7,371-33-3753,2020-03-17,6:29:54,negative
M8,158-86-7747,2020-03-17,2:55:15,positive
M9,486-76-7494,2020-03-17,12:10:49,positive
M10,820-02-5115,2020-03-17,15:26:17,positive
M1,886-50-9583,2020-03-17,12:42:47,positive
M2,222-25-5951,2020-03-17,2:40:03,positive
M3,819-59-8381,2020-03-17,4:43:00,negative
M4,807-05-4341,2020-03-17,21:11:48,negative
M5,831-40-8930,2020-03-17,11:18:16,negative
M6,683-27-6365,2020-03-17,14:18:14,negative
M7,392-65-3641,2020-03-17,4:38:05,negative
M8,816-51-0064,2020-03-17,0:54:56,negative
M9,271-13-4837,2020-03-17,13:26:44,negative
M10,614-39-7686,2020-03-17,12:15:51,positive
M1,222-67-7316,2020-03-17,15:33:03,positive
M2,817-30-3274,2020-03-17,20:37:17,positive
M3,604-58-8829,2020-03-17,4:08:33,positive
M4,218-62-9150,2020-03-17,21:57:02,negative
M5,736-13-5518,2020-03-17,15:36:28,negative
M6,171-82-6467,2020-03-17,15:39:13,positive
M7,740-63-6650,2020-03-17,0:20:49,positive
M8,781-40-4220,2020-03-17,12:03:39,negative
M9,190-67-5469,2020-03-17,17:05:53,negative
M10,859-53-1824,2020-03-17,6:53:53,positive
M1,564-87-1657,2020-03-17,3:49:51,negative
M2,662-97-2896,2020-03-17,23:15:15,negative
M3,349-45-4251,2020-03-17,2:25:04,positive
M4,135-01-9524,2020-03-17,22:25:22,negative
M5,518-98-7653,2020-03-17,18:51:19,negative
M6,436-42-0351,2020-03-17,14:57:54,positive
M7,379-52-5920,2020-03-17,2:53:36,negative
M8,750-93-9352,2020-03-17,14:46:26,positive
