passengerId,passengerName,covidTestResults,address,phone
108-80-6653,Javier Goldsack,negative,3636 Banding Center,103-482-0054
103-68-7587,Nero Dundredge,negative,2052 Sundown Way,527-736-2375
714-32-4803,Peggi Trundell,negative,80 Muir Drive,470-807-3142
301-66-9038,Alicia Francesconi,negative,1555 Commercial Hill,629-562-5612
494-02-0084,Franny Scrivner,negative,069 Clemons Place,864-517-0549
587-86-4143,Even Mayell,positive,6476 Trailsway Way,767-735-9921
872-76-1880,Jereme Drable,positive,34016 Dryden Hill,355-878-0668
505-88-4215,Henrietta Yoxall,negative,9 Starling Alley,987-177-7203
157-30-7732,Aube Bedrosian,positive,301 Fallview Plaza,989-687-9594
635-75-0697,Brandice Rickcord,negative,31 Sugar Drive,905-945-8020
834-96-3329,Joly Bergeon,positive,09 Hauk Lane,439-389-3801
784-51-5100,Nerissa Billion,positive,1145 Fisk Terrace,610-556-4101
805-81-3309,Nanci Angless,positive,05 Randy Avenue,316-224-8242
400-42-9057,Woodrow Blunn,negative,749 Del Sol Lane,562-300-2368
557-18-3122,Brucie Ollett,negative,33984 Texas Crossing,249-179-5469
829-53-8467,Dore Parnell,negative,383 Warbler Pass,599-315-8265
512-08-2987,Donielle Defries,positive,139 Emmet Avenue,314-930-0332
507-23-6788,Lawton Mathivon,negative,7 Carberry Point,623-886-7976
801-44-4982,Kandy Harbar,positive,30978 Tony Road,786-124-7122
185-75-0740,Jeannine Segges,negative,4642 Mcbride Parkway,592-816-3075
706-90-7602,Pauly Biggerstaff,negative,584 Sunbrook Way,426-830-9475
357-93-4550,Sancho Cleeve,positive,0 Bunting Trail,659-676-1659
716-01-5148,Nelson Whiffen,positive,7646 Sycamore Parkway,200-138-3410
322-45-3204,Donny Dwelley,positive,017 Annamark Plaza,391-911-7614
175-06-6230,Berkeley Pounds,positive,29454 Hollow Ridge Hill,241-870-9109
538-05-6625,Clint Haps,negative,663 Packers Place,518-358-5625
371-33-3753,Vaughan Zettoi,positive,39763 Spenser Lane,829-888-2041
158-86-7747,Beverly Lumley,negative,6208 Tony Road,140-449-0693
486-76-7494,Charil Droghan,negative,5 Fairfield Alley,208-505-5251
820-02-5115,Gallagher Rosenstiel,negative,7 Heffernan Junction,557-367-9933
886-50-9583,Teresita Tenny,positive,8505 Bowman Court,932-828-8789
222-25-5951,Lorry Wingatt,negative,96164 Mccormick Road,570-604-3606
819-59-8381,Idell Gelland,negative,9 Miller Point,811-168-4295
807-05-4341,Tony Greatbanks,positive,3464 Moulton Crossing,519-943-1360
831-40-8930,Kore Gainseford,positive,0196 7th Drive,953-637-3604
683-27-6365,Sherilyn Wyche,positive,8 Melby Park,612-881-5144
392-65-3641,Murvyn Doucette,positive,60 Dorton Pass,271-789-6645
