storeName,ownerName,contact,email,openTime,closeTime,generalGuidelines
Meetz,Otto Dimitriou,26-8374760,odimitriou0@usnews.com,1:17 AM,5:30 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Tambee,Avrit Masser,83-0173610,amasser1@cpanel.net,3:35 AM,8:42 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Twinte,Rosabelle Kuhnwald,42-9196780,rkuhnwald2@ed.gov,6:55 AM,9:20 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Riffpath,Teena Berens,34-7986734,,4:52 AM,4:44 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Brainlounge,Sampson Philliskirk,48-4175371,sphilliskirk4@guardian.co.uk,3:33 AM,11:19 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Voolith,Porty Empleton,12-1994842,pempleton5@slashdot.org,6:09 AM,3:51 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Oyoloo,Brandie Searsby,73-3251170,bsearsby6@t-online.de,4:21 AM,9:50 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Mydeo,Jessika Orrow,28-6601526,jorrow7@shareasale.com,10:19 AM,10:53 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Quamba,Rheba Triner,77-3799919,rtriner8@businesswire.com,4:56 AM,2:46 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
Vidoo,Abel Forde,64-6304855,,2:50 AM,11:30 PM,https://docs.google.com/document/d/1Yznz1CoNrhD8dz8zeNMS6VVQcQHXWCeVDHxiWBvfDGQ/edit?usp=sharing
