flightId,passengerId
N407AS,635-75-0697
N3KUAA,306-89-1409
N171US,781-16-1604
N3HYAA,821-80-5156
N527AS,672-10-2385
N3730B,371-05-7084
N635NK,789-88-8394
N584UW,311-69-4285
N3LAAA,473-12-8892
N826DN,894-47-4970
N958DN,477-17-4294
N853AA,461-53-2979
N547US,423-90-5414
N3751B,504-05-9446
N651DL,679-30-7694
N309AS,823-96-2225
N3743H,151-90-2827
N78448,151-90-2827
N413AS,702-96-4574
N806DN,507-86-7135
N525NK,162-63-1147
N3GXAA,246-90-9690
N632NK,103-68-7587
N3CTAA,776-81-9053
N671DN,216-96-5863
N76517,258-39-1201
N457AS,235-89-9460
N528NK,198-36-8718
N571UW,791-32-6929
N3HRAA,386-30-2326
N629NK,171-82-6467
N3CGAA,752-06-7432
N431AS,415-88-3711
N320US,659-71-4493
N514NK,236-23-0825
N389HA,493-51-8756
N804AW,462-41-3749
N76519,341-86-0960
N464AS,649-06-8559
N607JB,374-94-8493
N633NK,162-63-1147
N606NK,868-46-8360
N3BDAA,816-40-5759
N514AS,563-53-9381
N630NK,616-61-7569
N597JB,497-36-1226
N172US,423-20-7647
N303AS,738-39-4343
N653JB,756-21-3351
N37293,892-11-8930
N239JB,119-92-7673
N627JB,745-43-8193
N307JB,886-78-0750
N621JB,415-70-0083
N317JB,604-58-8829
N646JB,428-13-8734
N197UW,232-61-6632
N607AS,650-07-5603
N492HA,553-87-4601
N701BR,522-09-6285
N476HA,400-42-9057
N423AS,768-95-8192
N484HA,222-67-7316
N30401,450-05-7272
N3CXAA,393-60-8574
N616NK,863-80-6261
N8982A,406-54-4350
N445SW,277-68-2713
N746SK,473-12-8892
N676AW,585-64-5266
N3ASAA,273-98-4499
N3ETAA,774-32-7567
N12142,552-32-3415
N174US,645-08-7702
N3KVAA,339-13-2850
N355NW,725-79-9398
N26545,118-63-5349
N882AS,869-72-9651
N824AS,741-04-0328
N432SW,234-31-8470
N477HA,761-68-5861
N720EV,580-89-7487
N660MQ,458-31-0961
N79521,284-29-7357
N37281,335-44-4764
N36476,508-29-3632
N4XKAA,559-71-4321
N832AS,366-76-6806
N918FR,328-62-8311
N509NK,869-99-2555
N583SW,564-87-1657
N593ML,462-37-4217
N77066,306-91-2420
N66837,608-27-0002
N17245,311-37-7873
N358JB,288-50-6583
N190JB,355-69-1351
N324JB,135-31-3210
N12967,541-40-4423
N849AS,733-14-7641
N407AS,382-07-1152
